priority,market_group,brand,product_name,product_name_ko,official_site,collection_status,reason
1,korean_brand,NONFICTION,GAIAC FLOWER Eau de Parfum,가이악 플라워,https://nonfiction.com/,catalog_added,국내 대표 향수 브랜드의 우디 플로럴 제품
2,korean_brand,NONFICTION,GENTLE NIGHT Eau de Parfum,젠틀 나이트,https://nonfiction.com/,catalog_added,국내 인지도 높은 티 우디 계열 제품
3,korean_brand,NONFICTION,SANTAL CREAM Eau de Parfum,상탈 크림,https://nonfiction.com/,catalog_added,샌달우드 중심의 대표 우디 계열 제품
4,korean_brand,NONFICTION,FOR REST Eau de Parfum,포 레스트,https://nonfiction.com/,catalog_added,휴식과 포근함 수요를 검증할 제품
5,korean_brand,NONFICTION,THE ROSE Eau de Parfum,더 로즈,https://nonfiction.com/,catalog_added,플로럴 추천 결과 보강용 제품
6,korean_brand,NONFICTION,IN THE SHOWER Eau de Parfum,인 더 샤워,https://nonfiction.com/,catalog_added,청량한 우디 시트러스 수요 보강용 제품
7,korean_brand,NONFICTION,NEROLI DREAM Eau de Parfum,네롤리 드림,https://nonfiction.com/,catalog_added,시트러스 플로럴 수요 보강용 제품
8,korean_brand,NONFICTION,YOUNG MEMORIES Eau de Parfum,영 메모리즈,https://nonfiction.com/,catalog_added,그린 프레시 수요 보강용 제품
9,korean_brand,NONFICTION,THE BEIGE Eau de Parfum,더 베이지,https://nonfiction.com/,catalog_added,머스크 파우더리 수요 보강용 제품
10,korean_brand,NONFICTION,THE GREY Eau de Parfum,더 그레이,https://nonfiction.com/,catalog_added,다크 머스크 수요 보강용 제품
11,korean_brand,TAMBURINS,CHAMO Perfume,카모 퍼퓸,https://www.tamburins.com/,ready_to_collect,국내 인지도 높은 브랜드의 대표 향수 후보
12,korean_brand,TAMBURINS,HOLY METAL Perfume,홀리 메탈 퍼퓸,https://www.tamburins.com/,ready_to_collect,국내 인지도 높은 브랜드의 대표 향수 후보
13,korean_brand,TAMBURINS,LALE Perfume,랄레 퍼퓸,https://www.tamburins.com/,ready_to_collect,플로럴 계열 후보
14,korean_brand,TAMBURINS,BERGA SANDAL Perfume,베르가 샌달 퍼퓸,https://www.tamburins.com/,ready_to_collect,시트러스 우디 계열 후보
15,korean_brand,TAMBURINS,LATE AUTUMN Perfume,레이트 어텀 퍼퓸,https://www.tamburins.com/,ready_to_collect,따뜻한 계절성 향수 후보
16,korean_brand,SW19,6 Eau de Parfum,SW19 6,https://sw19official.com/,ready_to_collect,국내 향수 브랜드 대표 제품 후보
17,korean_brand,SW19,9 Eau de Parfum,SW19 9,https://sw19official.com/,ready_to_collect,국내 향수 브랜드 대표 제품 후보
18,korean_brand,SW19,Midnight Eau de Parfum,SW19 미드나잇,https://sw19official.com/,ready_to_collect,국내 향수 브랜드 대표 제품 후보
