catalog_key,description_ko,source_description_hash,translated_at,model
luckyscent:1,"설탕계의 라파 누이, 티호타는 그야말로 ‘단 하나’입니다. 향을 맡고 있지 않은 모든 순간마다 당신을 부를 바로 그 향, 다른 바닐라 향수에서 어렴풋이만 느껴보았던 바로 그 향, 끝없이 오래 지속되는 바로 그 향. 신선한 바닐라 빈 본연의 순수한 자연미를 완벽하게 담아내고, 당신의 상상을 뛰어넘는 방식으로 그 매력을 이끌어낸 향입니다. 꿀을 넣은 물에 부드러운 바닐라 빈 꼬투리를 담가 우려낸 듯한 향은 강박적인 애정을 불러일으킵니다. 그 결과는 순수한 마법과도 같은, 길들여지지 않은 바닐라입니다. 달콤하고, 날것 그대로이며, 애끓을 만큼 매혹적입니다.

물론 티호타가 바닐라의 어둡고 달콤한 면에 집중한 최초의 향수는 아닙니다. 향수 업계에는 바닐라 향수가 무수히 많습니다. 하지만 이 향은 바닐라에 완전히 매료된 조향사가 마침내 아무런 제약 없이, 변명도 없이 그 노트를 찬미할 자유를 얻었을 때 탄생했을 법한 꿈처럼 느껴집니다. 의심의 여지 없이, 우리가 영광스럽게 취급해 온 순수 바닐라 향 중 최고이며, 너무나 아름다워 병을 내려놓는 것조차 고통스러울 정도입니다.",070156818e19562d91377e24fbaea2ccc03319347001e330eff3aa08d830adaa,2026-09-11T18:51:42.696259+00:00,gpt-5.6-luna
luckyscent:2,"하늘에서 꽃과 열매가 가득한 대지에 이르기까지 펼쳐진 광활한 우주에 바치는 헌사, DI SER와 조향사 야스유키 시노하라가 선보이는 최신 향수 솔라는 일본 홋카이도의 자연 식물을 담아냈으며, DI SER의 정원에서 직접 재배하고 현지에서 지속 가능한 방식으로 수확한 원료를 사용했습니다. 갓 수확한 홋카이도 라벤더, 레몬그라스, 유자의 아로마틱한 노트로 시작해 기분을 고양하는 향은 일본 장미, 목련, 제라늄, 자스민의 플로럴 하트로 이어지고, 마지막에는 프랑킨센스와 몰약의 영적인 향조 위에 차분히 내려앉습니다. 영적이고 명상적인 이 향은 자연의 풍요로움과 넉넉한 선물이 선사하는 평화와 만족감이 완벽한 조화를 이루는 평온한 우주의 모습을 떠올리게 합니다.",13393a6273acb0d2874976af813c6d9b8d38e294e2048060118a34b80a5d90a0,2026-09-11T18:51:49.995382+00:00,gpt-5.6-luna
luckyscent:3,"일본의 고대의 아름다움에 바치는 아로마틱한 찬가, 카기ロ이는 일본 홋카이도의 산맥 위로 펼쳐지는 새벽 하늘의 색조 변화를 표현합니다. 새벽 하늘이 보라색, 노란색, 주황색, 붉은색의 색조로 변해가듯, 향수에 처음으로 사용된 여러 원료를 선보이는 이 향은 아로마틱하고 은은하게 스파이시한 톱 노트에서 흙내음과 우디한 베이스로 이어지며, 삶의 여러 단계에서 일어나는 밀물과 썰물을 상징합니다. 일본 허브와 시트러스 노트로 시작해 은은하게 플로럴한 스파이시 미들 노트로 넘어가고, 산악 풍경 곳곳에 자리한 히노키 삼나무의 사용으로 한층 깊어진 우디 베이스로 마무리됩니다. 매우 개인적이고 영적인 향인 카기로이는 삶의 여정에서 일어나는 변화를 상징하는, 끊임없이 변화하는 아로마틱한 복합성을 담은 향입니다.

퍼퓸 에디션: 카기ロ이의 희귀하고 귀한 퍼퓸 에디션을 선보일 수 있어 영광이며 기쁘게 생각합니다. 이 에디션에는 귀중한 일본산 침향이 더해져, 이미 복합적이고 훌륭한 이 향에 풍부하고 영적인 입체감을 부여하며, 진정으로 인상적이고 오래 지속되는 잔향을 완성합니다.",a5a2df1d36fb992ad7eb7ff3eff406da36afc68bec72d1c8e93b37beb71a66cb,2026-09-11T18:51:55.348381+00:00,gpt-5.6-luna
luckyscent:4,"벨벳 판타지는 시트러스와 벨벳처럼 부드러운 과일 향이 로즈의 우아함, 그리고 바이올렛의 구르망한 여성미와 어우러지는 솔라 프래그런스입니다. 이어 인센스가 앰버와 화이트 머스크를 드러내며 매혹적이고 야성적인 춤을 만들어냅니다.

우리가 느낀 점

풍성하고 오래 지속되는 따뜻함을 지닌 달콤하고 프루티한 향입니다. 관능적인 디저트처럼, 탠저린의 밝고 상쾌한 향에 달콤한 베리와 애플 노트, 그리고 토피와 바닐라의 크리미함이 어우러지며 시작됩니다. 이후 앰버, 레더, 달콤한 바닐라, 크리미한 우디 향이 조화를 이루는 대담하고 매혹적인 향으로 부드럽게 이어집니다. 군침이 돌 만큼 매력적입니다.",22ccf733fe00a1dbc7cdd08cf4542385aa44e8604755ce83855f70ffc0b01a91,2026-09-11T18:52:01.671618+00:00,gpt-5.6-luna
luckyscent:5,"A Lab On Fire가 로스앤젤레스로 터전을 옮기면서 L.A.에서 가장 상징적인 대로에 경의를 표하지 않을 수는 없었을 것입니다. 전설적인 네온빛 록 공연장들이 늘어선 선셋 스트립부터 팔리세이즈의 부서지는 파도, 그리고 그 사이의 모든 것까지 아우르는 곳이니까요. 그렇게 탄생한 것이 바로 《선셋이라 불리는 대로》입니다. 이 향수는 거칠고 아름다운 우리의 도시를 가로지르는, 밝고 상쾌하면서도 적당히 반항적인 여정입니다.

밝고 싱그러운 베르가못이 매끄럽고 짭조름하며 아몬드 뉘앙스를 머금은 바람 속에서 반짝입니다. 바이올렛과 자스민이 어우러진 남성적인 느낌의 플로럴 블렌드는, 에드 루샤의 기념비적인 사진집에 그 유명한 모습으로 담긴 바이커 바와 메탈 클럽을 떠올리게 하는 레더 노트와 조화를 이룹니다. 샌달우드, 바닐라, 통카가 어우러진 부드럽고 매혹적인 베이스는 완벽하게 믹스된 칵테일처럼 부드럽게 스며들며, 편안함과 관능미를 동시에 선사합니다.

언젠가 선셋을 따라 여행할 기회가 있다면, 세상 어디에도 이와 같은 곳은 없다는 걸 알게 될 것입니다. 하지만 그다음으로 좋은 방법은 《선셋이라 불리는 대로》를 입고 하루를 보내는 것—로스앤젤레스의 심장과 영혼에 바치는 완벽한 헌사입니다.",c8d2546c36e42ca1daeb4c7d6700c52029df8e1ecb9c123f2470ad741cff4270,2026-09-11T18:52:09.723546+00:00,gpt-5.6-luna
luckyscent:6,"천사의 도시에서 젊음을 만끽하는 것만큼 아름다운 일은 없습니다. 머리카락을 스치는 바람, 발가락 사이로 느껴지는 모래, 햇살이 반짝이고 바다의 입맞춤이 머무는 낙원에서 끝없이 펼쳐지는 자유와 모험의 가능성—그곳에서는 하루가 끝나지 않고 무엇이든 가능하죠. 프레클드 앤 뷰티풀은 L.A.의 젊음이 지닌 아름다움에 바치는 완벽한 헌사로, 따뜻하고 몽롱한 해변의 플로럴 향에 잊을 수 없는 구르망 터치를 더했습니다. 크리미하고 로맨틱한 오렌지 블로섬, 짭조름한 바닷바람의 unmistakable한 톡 쏘는 향, 그리고 군침을 돌게 하는 독특한 구르망 요소까지—A Lab On Fire의 매력을 이루는 모든 것을 고스란히 담아낸 향수입니다. 여기에는 완벽한 방과 후 간식처럼 마음을 편안하게 하고 든든하게 채워주는 따뜻한 밀크와 쁘티 뵈르 페이스트리 어코드가 더해졌습니다. 맛있고 매력적인 프레클드 앤 뷰티풀은 젊음만이 지닌 특별한 환희를 담아냈으며, A Lab On Fire의 플로럴 구르망을 사랑하는 모든 이들이 꼭 시향해 봐야 할 향수입니다.",5e1265abe6b4fe1aa412fb3790b2d45d31249e318303e0fd9a3a57fc226cb2ab,2026-09-11T18:53:48.991952+00:00,gpt-5.6-luna
luckyscent:7,"이 격동의 시대에 파괴와 폐위를 기념하는 향수라니, 다소 위험하게 느껴질 수도 있습니다. 하지만 에따 리브르는 애초에 안전한 길을 택하는 브랜드가 아니었고, 《엑시트 더 킹》 역시 이들의 최고의 작품들이 그러하듯 가장 멋진 방식으로 위험을 감수합니다. 지금껏 맡아본 적 없는 독특한 향이 클래식 시프레의 윤곽을 허물고, 눈부시게 상쾌하며 매혹적으로 섹시한 새로운 질서를 드러냅니다. 전기처럼 강렬하게 과감한 플로럴, 반짝이는 듯 산뜻한 비누 거품, 그리고 트리 모스의 날카롭고 푸르른 향이 파촐리와 샌달우드의 우디하고 밀키한 블렌드 위에 어우러진, 완벽한 대비의 조화입니다. 편안할 만큼 익숙하면서도 전율을 일으킬 만큼 새롭습니다. 매일 사용하기에 완벽하면서도 비장의 무기처럼 강력한, 현대적이고 세련된 플로럴 향입니다.",83b451bdc0730cde270e1cb4bf7bc87b4d966cb7c5aa2a8412496d6df31ff698,2026-09-11T18:53:54.720398+00:00,gpt-5.6-luna
luckyscent:8,"요루바 전설에서 신들과 지상의 모든 민족 사이를 중재하는 장난기 많은 신, 에슈. 2000년 가을/겨울 컬렉션에서 고(故) 알렉산더 맥퀸이 선보인 혁신적인 컬렉션 에슈는 프린 롬로스가 이 향을 창조하는 데 영감을 주었습니다. 향수 에슈는 풍부하고 흙내음 가득한 타바코, 불타오르는 스파이스, 달콤한 코냑, 그리고 애니멀릭한 뉘앙스와 우드, 머스크가 어우러져 누구에게나 유창하게 다가가는 대화를 펼칩니다. 놀라울 만큼 매끄럽게 조화를 이루며, 강렬하면서도 부담 없이 착용할 수 있는 술기운 어린 타바코 향에 강렬하고 세련된 레진과 스파이스의 풍미가 더해져 독특하고 잊을 수 없는 인상을 남깁니다. 전통적인 부족 문화의 요소와 현대적인 변주를 기발하게 병치한 에슈는 절대 놓쳐서는 안 될 향수입니다.",844e155f5245bb9e2c9e57f33fab6ba6698df46cab433f394f17b81391be70de,2026-09-11T18:53:58.892083+00:00,gpt-5.6-luna
luckyscent:9,"사랑과 유혹의 맛. 연인과 친구, 가족과 인류 사이에 존재하는 사랑의 가치. 행복의 맛. 전통적이고 고대적인 태국 문학 창작 형식에 바치는 헌사인 사링칸은 구르망과 플로럴, 오리엔탈 사이 어딘가에 자리한 매혹적이고 독특한 향입니다. 우드, 앰버, 가죽, 담배의 어둡고 관능적인 향조에 밀랍과 다크 초콜릿, 그리고 정교한 장미의 부케가 매혹적이고 로맨틱한 달콤함을 더합니다. 달콤하고 술 향이 감도는 프룬은 꼬냑 같은 풍성함을 선사하고, 한층 짙은 스모크 노트는 도발적인 위험을 딱 알맞은 만큼 간직합니다. 진정한 문학적 천재의 작품이 그러하듯, 이 모든 것을 어떻게 해석할지는 당신에게 달려 있습니다.",ce9712c301f151e8e9100eca749d7f78a53e747385717866729bfd0c3704ce00,2026-09-11T18:54:05.446636+00:00,gpt-5.6-luna
luckyscent:10,"페르시아의 전설 속 아르살란은 숨겨진 혈통을 다시 발견하고 왕좌를 되찾기로 결심한 왕위 계승자의 이야기입니다. 숨겨진 힘을 바탕으로 한 향수에 걸맞게, 아르살란은 따뜻하고 풍성하며 로맨틱한 분위기를 자아내는, 아름답고 풍부한 질감의 플로럴 스파이시 향수인 동시에 동남아시아에서 얻을 수 있는 최상급 우드의 강렬하고 매혹적인 블렌드를 드러냅니다. 감미롭고 부드러운 샴파카와 자스민의 밝고 매혹적인 부케 아래로, 캄보디아산 우드와 태국 뜨랏 우드가 강렬하고 관능적으로 밀려들며 달콤하고 따뜻하며 감각적인 우드의 다면적인 면모를 보여줍니다. 밝고 반짝이는 올리바넘 인센스는 이국적인 스파이스 블렌드와 어우러져 향을 고양하고 세련된 복합미를 더합니다. 왕자 아르살란이 자신의 고귀함을 드러내기까지는 긴 여정이 필요했지만, 향수 아르살란은 부인할 수 없을 만큼, 그리고 놀라울 만큼 위엄 있고 왕실답습니다.",0cd3f906dde893f1b69171f77ac672c385f8c9298cc9a9064bbe0f5f4a6c3d32,2026-09-11T18:54:10.386233+00:00,gpt-5.6-luna
