canonical_note,note_ko,translated_at,model
musk,머스크,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
amber,앰버,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
vanilla,바닐라,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
patchouli,패출리,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
sandalwood,샌달우드,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
bergamot,베르가못,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
rose,로즈,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
jasmine,자스민,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
vetiver,베티버,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
cedar,시더,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
leather,레더,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
incense,인센스,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
cardamom,카다멈,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
lemon,레몬,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
tonka bean,통카빈,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
saffron,사프란,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
labdanum,라브다넘,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
cedarwood,시더우드,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
cinnamon,시나몬,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
benzoin,벤조인,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
pink pepper,핑크 페퍼,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
violet,바이올렛,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
iris,아이리스,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
nutmeg,너트메그,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
oakmoss,오크모스,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
lavender,라벤더,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
oud,오드,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
geranium,제라늄,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
orange blossom,오렌지 블로섬,2026-09-24T03:25:04.272585+00:00,gpt-5.6-luna
