catalog_key,name_ko,brand_ko,translated_at,model
luckyscent:1,티호타 오 드 퍼퓸,인돌트,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:2,솔라 퍼퓸,디 세르,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:3,카기로이 퍼퓸,디 세르,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:4,벨벳 판타지 오 드 퍼퓸,몽탈,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:5,어 블러바드 콜드 선셋 오 드 퍼퓸,에이 랩 온 파이어,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:6,프레클드 앤 뷰티풀 오 드 퍼퓸,에이 랩 온 파이어,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:7,엑시트 더 킹 오 드 퍼퓸,이따 리브르 도랑주,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:8,에슈 엑스트레,프린,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:9,사링칸 엑스트레,프린,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:10,아르살란 퍼퓸,프린,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:11,녹터널 포에트리 퍼퓸,프린,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:12,호마 퍼퓸,프린,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:13,코알라 엑스트레 드 퍼퓸,주올로지스트,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:14,롬 아 라 로즈 오 드 퍼퓸,메종 프란시스 커정,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:15,로주 오 드 퍼퓸,이솝,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:16,샹 뤼네르 오 드 뚜왈렛,로그 퍼퓨머리,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:17,프헝 모아 오 드 퍼퓸,이자베이,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:18,오 드 퀴진 오 드 퍼퓸,힐데 솔리아니,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:19,디소베디엔차 오 드 퍼퓸,힐데 솔리아니,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:20,바닐 드 타히티 오 드 퍼퓸,페리스 몬테카를로,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:21,그리 샤르넬 오 드 퍼퓸,비디케이 퍼퓸,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:22,밀크 머스크 오 드 뚜왈렛,몰튼 브라운,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:23,블랙베리 우즈 오 드 퍼퓸,셰이 앤 블루,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:24,라방드 로메인 오 드 퍼퓸,페리스 몬테카를로,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:25,셀레스티얼 오 드 퍼퓸,일렉티머스,2026-09-24T12:10:22.086350+00:00,gpt-5.6-luna
luckyscent:26,퓨리타스 오 드 퍼퓸,일렉티머스,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:27,서리블 오 드 퍼퓸,룩 퍼퓸스,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:28,스웨이드 오 드 퍼퓸,룩 퍼퓸스,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:29,앰버 오 드 퍼퓸,룩 퍼퓸스,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:30,인터루드 블랙 아이리스 오 드 퍼퓸,아모아주,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:31,에스칼 앙 아이티 오 드 코롱,레 앵데모더블,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:32,에스칼 앙 인도네지 오 드 코롱,레 앵데모더블,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:33,제스트 드 진저브레 오 드 퍼퓸,힐리,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:34,오트 프로방스 오 드 퍼퓸,팔 모아 드 파퓸,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:35,에센트릭 05 - 트래블 스프레이 오 드 뚜왈렛,에센트릭 몰리큘스,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
luckyscent:36,1979 뉴 웨이브 오 드 퍼퓸,레 뱅 궤르부아,2026-09-24T12:15:14.579232+00:00,gpt-5.6-luna
